,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
158,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,8,1353.178,264672876
159,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,9,1349.7679999999998,264672876
160,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,0,327.106,290395572
161,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,1,329.028,290395572
162,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,2,331.471,290395572
163,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,3,331.194,290395572
164,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,4,327.946,290395572
165,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,5,331.917,290395572
166,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,6,331.631,290395572
167,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,7,330.21,290395572
168,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,8,331.172,290395572
169,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc32,0,9,332.029,290395572
170,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,0,340.079,290395576
171,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,1,332.1269999999999,290395576
172,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,2,330.807,290395576
173,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,3,333.472,290395576
174,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,4,329.88,290395576
175,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,5,335.281,290395576
176,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,6,335.08,290395576
177,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,7,335.806,290395576
178,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,8,327.226,290395576
179,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,crc64,1,9,334.67,290395576
180,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,0,326.884,290395568
181,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,1,326.408,290395568
