,system,target,server,fastbest,verify,lax,replay_gain,lpc_optimization,replication,time_compress,size_compress
172,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,2,166.975,624074079
173,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,3,83.757,624074079
174,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,4,84.807,624074079
175,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,5,88.67399999999998,624074079
176,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,6,83.71799999999998,624074079
177,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,7,84.37299999999998,624074079
178,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,8,83.73700000000002,624074079
179,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,9,85.10700000000001,624074079
180,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,0,150.289,624074269
181,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,1,150.72799999999995,624074269
182,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,2,150.02700000000004,624074269
183,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,3,150.315,624074269
184,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,4,149.894,624074269
185,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,5,150.374,624074269
186,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,6,222.518,624074269
187,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,7,150.347,624074269
188,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,8,150.548,624074269
189,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,0,9,150.934,624074269
190,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,0,156.899,624074269
191,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,1,156.061,624074269
192,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,2,155.743,624074269
193,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,3,155.871,624074269
194,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,4,155.989,624074269
195,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,5,155.65,624074269
196,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,6,155.601,624074269
197,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,7,155.453,624074269
198,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,8,156.135,624074269
199,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,1,1,9,156.79399999999995,624074269
200,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,0,80.714,624074079
201,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,1,80.295,624074079
202,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,2,80.141,624074079
203,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,3,78.152,624074079
204,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,4,78.687,624074079
205,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,5,79.292,624074079
206,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,6,79.083,624074079
207,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,7,77.786,624074079
208,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,8,78.83,624074079
209,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,0,9,78.203,624074079
210,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,0,83.619,624074079
211,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,1,83.45100000000002,624074079
212,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,2,84.663,624074079
213,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,3,83.87899999999998,624074079
214,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,4,83.40700000000002,624074079
215,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,5,157.488,624074079
216,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,6,84.434,624074079
217,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,7,83.31299999999997,624074079
218,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,8,85.3,624074079
219,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,0,1,9,83.896,624074079
220,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,0,151.135,624074269
221,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,1,150.683,624074269
222,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,2,150.149,624074269
223,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,3,150.246,624074269
224,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,4,150.077,624074269
225,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,5,149.931,624074269
226,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,6,150.168,624074269
227,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,7,150.496,624074269
228,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,8,150.924,624074269
229,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,0,9,216.344,624074269
230,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,0,155.971,624074269
231,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,1,157.02,624074269
232,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,2,157.17700000000005,624074269
233,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,3,156.013,624074269
234,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,4,221.213,624074269
235,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,5,157.29399999999995,624074269
236,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,6,157.612,624074269
237,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,7,155.657,624074269
238,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,8,156.78799999999995,624074269
239,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,1,1,1,9,157.232,624074269
240,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,0,113.409,624074079
241,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,1,113.228,624074079
242,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,2,113.254,624074079
243,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,3,113.475,624074079
244,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,4,117.791,624074079
245,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,5,115.782,624074079
246,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,6,114.153,624074079
247,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,1,0,0,0,7,113.004,624074079
