,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
133,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,3,117.501,337793102
134,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,4,117.745,337793102
135,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,5,116.825,337793102
136,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,6,114.929,337793102
137,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,7,115.001,337793102
138,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,8,114.557,337793102
139,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,9,117.392,337793102
140,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,0,145.447,345008389
141,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,1,145.512,345008389
142,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,2,145.14,345008389
143,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,3,145.63299999999995,345008389
144,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,4,144.368,345008389
145,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,5,144.145,345008389
146,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,6,144.14600000000004,345008389
147,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,7,147.151,345008389
148,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,8,144.696,345008389
149,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,9,167.25599999999997,345008389
150,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,0,144.561,345008389
151,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,1,145.946,345008389
152,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,2,145.274,345008389
153,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,3,144.017,345008389
154,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,4,145.181,345008389
155,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,5,144.27200000000005,345008389
156,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,6,144.961,345008389
157,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,7,144.985,345008389
158,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,8,146.85,345008389
159,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,1,9,150.42,345008389
160,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,0,150.196,327154356
161,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,1,151.001,327154356
162,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,2,150.845,327154356
163,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,3,149.567,327154356
164,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,4,150.118,327154356
165,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,5,152.053,327154356
166,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,6,150.179,327154356
167,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,7,150.191,327154356
168,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,8,151.211,327154356
169,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,9,174.68,327154356
170,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,0,151.465,327154356
171,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,1,151.314,327154356
172,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,2,153.768,327154356
173,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,3,151.653,327154356
174,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,4,152.168,327154356
175,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,5,151.689,327154356
176,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,6,153.739,327154356
177,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,7,150.375,327154356
178,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,8,151.594,327154356
179,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,0,9,150.64,327154356
180,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,0,181.888,334249788
181,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,1,181.575,334249788
182,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,2,180.165,334249788
183,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,3,179.80700000000004,334249788
184,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,4,179.90400000000002,334249788
185,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,5,180.458,334249788
186,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,6,179.929,334249788
187,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,7,181.394,334249788
188,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,8,179.72299999999996,334249788
189,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,9,180.166,334249788
190,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,0,197.924,334249788
191,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,1,179.145,334249788
192,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,2,178.622,334249788
193,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,3,178.824,334249788
194,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,4,178.81900000000005,334249788
195,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,5,178.763,334249788
196,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,6,178.74599999999995,334249788
197,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,7,178.74400000000003,334249788
198,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,8,178.50400000000005,334249788
199,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,5,1,9,177.865,334249788
200,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,0,206.628,323742885
201,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,1,188.949,323742885
202,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,2,189.123,323742885
203,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,3,190.538,323742885
204,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,4,191.561,323742885
205,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,5,189.23,323742885
206,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,6,188.149,323742885
207,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,7,187.137,323742885
208,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,8,188.426,323742885
209,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,9,188.607,323742885
210,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,0,208.003,323742885
211,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,1,188.0,323742885
212,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,2,188.297,323742885
213,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,3,192.51,323742885
214,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,4,194.743,323742885
215,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,5,195.302,323742885
216,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,6,196.267,323742885
217,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,7,194.359,323742885
218,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,8,191.30900000000003,323742885
219,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,0,9,187.053,323742885
220,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,0,231.13,330740993
221,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,1,216.363,330740993
222,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,2,216.01,330740993
223,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,3,217.45,330740993
